y,x4,x5,x6,x7,x8,x9,x10,x4.x4,x4.x5,x4.x6,x4.x7,x4.x8,x4.x9,x4.x10,x5.x5,x5.x6,x5.x7,x5.x8,x5.x9,x5.x10,x6.x6,x6.x7,x6.x8,x6.x9,x6.x10,x7.x7,x7.x8,x7.x9,x7.x10,x8.x8,x8.x9,x8.x10,x9.x9,x9.x10,x10.x10
22,5830,5,76,71,1394,13,30,33988900,29150,443080,413930,8127020,75790,174900,25,380,355,6970,65,150,5776,5396,105944,988,2280,5041,98974,923,2130,1943236,18122,41820,169,390,900
18,5800,7,66,66,3146,27,50,33640000,40600,382800,382800,18246800,156600,290000,49,462,462,22022,189,350,4356,4356,207636,1782,3300,4356,207636,1782,3300,9897316,84942,157300,729,1350,2500
10,5730,4,84,64,5000,23,80,32832900,22920,481320,366720,28650000,131790,458400,16,336,256,20000,92,320,7056,5376,420000,1932,6720,4096,320000,1472,5120,2.50E+07,115000,4.00E+05,529,1840,6400
14,5780,5,74,65,2270,-7,50,33408400,28900,427720,375700,13120600,-40460,289000,25,370,325,11350,-35,250,5476,4810,167980,-518,3700,4225,147550,-455,3250,5152900,-15890,113500,49,-350,2500
9,5740,7,48,54,2191,-13,60,32947600,40180,275520,309960,12576340,-74620,344400,49,336,378,15337,-91,420,2304,2592,105168,-624,2880,2916,118314,-702,3240,4800481,-28483,131460,169,-780,3600
12,5710,8,75,62,3448,12,60,32604100,45680,428250,354020,19688080,68520,342600,64,600,496,27584,96,480,5625,4650,258600,900,4500,3844,213776,744,3720,11888704,41376,206880,144,720,3600
7,5690,6,74,56,5000,13,80,32376100,34140,421060,318640,28450000,73970,455200,36,444,336,30000,78,480,5476,4144,370000,962,5920,3136,280000,728,4480,2.50E+07,65000,4.00E+05,169,1040,6400
3,5760,5,23,57,5000,-21,300,33177600,28800,132480,328320,28800000,-120960,1728000,25,115,285,25000,-105,1500,529,1311,115000,-483,6900,3249,285000,-1197,17100,2.50E+07,-105000,1500000,441,-6300,90000
8,5810,7,59,61,2385,10,150,33756100,40670,342790,354410,13856850,58100,871500,49,413,427,16695,70,1050,3481,3599,140715,590,8850,3721,145485,610,9150,5688225,23850,357750,100,1500,22500
5,5860,7,19,70,5000,-29,300,34339600,41020,111340,410200,29300000,-169940,1758000,49,133,490,35000,-203,2100,361,1330,95000,-551,5700,4900,350000,-2030,21000,2.50E+07,-145000,1500000,841,-8700,90000
14,5810,2,47,69,469,-4,50,33756100,11620,273070,400890,2724890,-23240,290500,4,94,138,938,-8,100,2209,3243,22043,-188,2350,4761,32361,-276,3450,219961,-1876,23450,16,-200,2500
16,5770,2,73,59,1541,18,20,33292900,11540,421210,340430,8891570,103860,115400,4,146,118,3082,36,40,5329,4307,112493,1314,1460,3481,90919,1062,1180,2374681,27738,30820,324,360,400
5,5710,4,67,49,5000,24,200,32604100,22840,382570,279790,28550000,137040,1142000,16,268,196,20000,96,800,4489,3283,335000,1608,13400,2401,245000,1176,9800,2.50E+07,120000,1.00E+06,576,4800,40000
3,5500,9,56,39,5000,15,120,30250000,49500,308000,214500,27500000,82500,660000,81,504,351,45000,135,1080,3136,2184,280000,840,6720,1521,195000,585,4680,2.50E+07,75000,6.00E+05,225,1800,14400
5,5810,5,59,54,5000,-28,70,33756100,29050,342790,313740,29050000,-162680,406700,25,295,270,25000,-140,350,3481,3186,295000,-1652,4130,2916,270000,-1512,3780,2.50E+07,-140000,350000,784,-1960,4900
4,5860,0,25,60,5000,-38,140,34339600,0,146500,351600,29300000,-222680,820400,0,0,0,0,0,0,625,1500,125000,-950,3500,3600,3.00E+05,-2280,8400,2.50E+07,-190000,7.00E+05,1444,-5320,19600
11,5900,0,24,62,5000,-36,150,34810000,0,141600,365800,29500000,-212400,885000,0,0,0,0,0,0,576,1488,120000,-864,3600,3844,310000,-2232,9300,2.50E+07,-180000,750000,1296,-5400,22500
6,5850,5,41,65,2014,-20,200,34222500,29250,239850,380250,11781900,-117000,1170000,25,205,325,10070,-100,1000,1681,2665,82574,-820,8200,4225,130910,-1300,13000,4056196,-40280,402800,400,-4000,40000
8,5780,3,50,66,436,1,4,33408400,17340,289000,381480,2520080,5780,23120,9,150,198,1308,3,12,2500,3300,21800,50,200,4356,28776,66,264,190096,436,1744,1,4,16
12,5770,2,81,62,1210,-17,30,33292900,11540,467370,357740,6981700,-98090,173100,4,162,124,2420,-34,60,6561,5022,98010,-1377,2430,3844,75020,-1054,1860,1464100,-20570,36300,289,-510,900
9,5750,2,85,60,501,-22,2,33062500,11500,488750,345000,2880750,-126500,11500,4,170,120,1002,-44,4,7225,5100,42585,-1870,170,3600,30060,-1320,120,251001,-11022,1002,484,-44,4
7,5780,5,76,63,875,-15,0,33408400,28900,439280,364140,5057500,-86700,0,25,380,315,4375,-75,0,5776,4788,66500,-1140,0,3969,55125,-945,0,765625,-13125,0,225,0,0
4,5750,6,58,58,5000,59,60,33062500,34500,333500,333500,28750000,339250,345000,36,348,348,30000,354,360,3364,3364,290000,3422,3480,3364,290000,3422,3480,2.50E+07,295000,3.00E+05,3481,3540,3600
3,5770,4,19,44,2280,-54,250,33292900,23080,109630,253880,13155600,-311580,1442500,16,76,176,9120,-216,1000,361,836,43320,-1026,4750,1936,100320,-2376,11000,5198400,-123120,570000,2916,-13500,62500
3,5810,2,19,53,2047,-43,150,33756100,11620,110390,307930,11893070,-249830,871500,4,38,106,4094,-86,300,361,1007,38893,-817,2850,2809,108491,-2279,7950,4190209,-88021,307050,1849,-6450,22500
3,5810,2,19,52,5000,-69,200,33756100,11620,110390,302120,29050000,-400890,1162000,4,38,104,10000,-138,400,361,988,95000,-1311,3800,2704,260000,-3588,10400,2.50E+07,-345000,1.00E+06,4761,-13800,40000
3,5870,3,19,53,3720,-50,200,34456900,17610,111530,311110,21836400,-293500,1174000,9,57,159,11160,-150,600,361,1007,70680,-950,3800,2809,197160,-2650,10600,13838400,-186000,744000,2500,-10000,40000
3,5830,2,27,58,311,-24,200,33988900,11660,157410,338140,1813130,-139920,1166000,4,54,116,622,-48,400,729,1566,8397,-648,5400,3364,18038,-1392,11600,96721,-7464,62200,576,-4800,40000
5,5780,4,19,48,2933,-40,300,33408400,23120,109820,277440,16952740,-231200,1734000,16,76,192,11732,-160,1200,361,912,55727,-760,5700,2304,140784,-1920,14400,8602489,-117320,879900,1600,-12000,90000
3,5810,3,19,51,3064,-33,200,33756100,17430,110390,296310,17801840,-191730,1162000,9,57,153,9192,-99,600,361,969,58216,-627,3800,2601,156264,-1683,10200,9388096,-101112,612800,1089,-6600,40000
4,5760,0,32,62,826,-16,300,33177600,0,184320,357120,4757760,-92160,1728000,0,0,0,0,0,0,1024,1984,26432,-512,9600,3844,51212,-992,18600,682276,-13216,247800,256,-4800,90000
7,5680,0,58,40,5000,2,50,32262400,0,329440,227200,28400000,11360,284000,0,0,0,0,0,0,3364,2320,290000,116,2900,1600,2.00E+05,80,2000,2.50E+07,10000,250000,4,100,2500
5,5750,0,26,44,111,-52,40,33062500,0,149500,253000,638250,-299000,230000,0,0,0,0,0,0,676,1144,2886,-1352,1040,1936,4884,-2288,1760,12321,-5772,4440,2704,-2080,1600
3,5750,0,19,53,5000,-26,150,33062500,0,109250,304750,28750000,-149500,862500,0,0,0,0,0,0,361,1007,95000,-494,2850,2809,265000,-1378,7950,2.50E+07,-130000,750000,676,-3900,22500
2,5720,0,19,53,5000,-31,70,32718400,0,108680,303160,28600000,-177320,400400,0,0,0,0,0,0,361,1007,95000,-589,1330,2809,265000,-1643,3710,2.50E+07,-155000,350000,961,-2170,4900
5,5760,3,19,55,948,-48,200,33177600,17280,109440,316800,5460480,-276480,1152000,9,57,165,2844,-144,600,361,1045,18012,-912,3800,3025,52140,-2640,11000,898704,-45504,189600,2304,-9600,40000
4,5660,4,19,54,5000,-22,150,32035600,22640,107540,305640,28300000,-124520,849000,16,76,216,20000,-88,600,361,1026,95000,-418,2850,2916,270000,-1188,8100,2.50E+07,-110000,750000,484,-3300,22500
6,5680,3,52,49,5000,-19,70,32262400,17040,295360,278320,28400000,-107920,397600,9,156,147,15000,-57,210,2704,2548,260000,-988,3640,2401,245000,-931,3430,2.50E+07,-95000,350000,361,-1330,4900
3,5650,5,19,48,5000,-28,150,31922500,28250,107350,271200,28250000,-158200,847500,25,95,240,25000,-140,750,361,912,95000,-532,2850,2304,240000,-1344,7200,2.50E+07,-140000,750000,784,-4200,22500
4,5710,4,19,51,5000,-25,300,32604100,22840,108490,291210,28550000,-142750,1713000,16,76,204,20000,-100,1200,361,969,95000,-475,5700,2601,255000,-1275,15300,2.50E+07,-125000,1500000,625,-7500,90000
3,5680,4,57,47,508,-10,100,32262400,22720,323760,266960,2885440,-56800,568000,16,228,188,2032,-40,400,3249,2679,28956,-570,5700,2209,23876,-470,4700,258064,-5080,50800,100,-1000,10000
2,5730,3,53,51,111,-14,200,32832900,17190,303690,292230,636030,-80220,1146000,9,159,153,333,-42,600,2809,2703,5883,-742,10600,2601,5661,-714,10200,12321,-1554,22200,196,-2800,40000
3,5690,3,23,51,5000,-36,70,32376100,17070,130870,290190,28450000,-204840,398300,9,69,153,15000,-108,210,529,1173,115000,-828,1610,2601,255000,-1836,3570,2.50E+07,-180000,350000,1296,-2520,4900
1,5550,4,85,39,5000,8,100,30802500,22200,471750,216450,27750000,44400,555000,16,340,156,20000,32,400,7225,3315,425000,680,8500,1521,195000,312,3900,2.50E+07,40000,5.00E+05,64,800,10000
